gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Aif1,0.9336610441743936,0.017699962882979037,1,1,1
B3galt5,0.934221100557439,-0.0029880452856843043,1,1,1
Dpp4,0.9367273323935502,-0.300463082310265,1,1,1
Lhx6,0.9368358854069124,0.003750019282225736,1,1,1
Prdx1,0.9369412803549582,0.01417351409459311,1,1,1
Got1,0.9401784510929486,-0.0010299520838099596,1,1,1
Chst11,0.9403961744550697,0.010127856738048724,1,1,1
Tpsab1,0.9453702166916041,-0.22520061176967898,1,0.667,1
Slc2a1,0.9513745263657073,0.013444120785180758,1,1,1
Abcg1,0.9533422260321045,-0.0109794740752438,1,1,1
Bckdha,0.9538804972389617,0.018171139562009664,1,1,1
Grin2a,0.9541396921247463,-0.04353960126878165,1,1,1
G6pc3,0.9545966268846355,-0.039511619694095224,1,1,1
Rapgef3,0.9555957469608773,-0.0825968711105115,1,1,1
Msmo1,0.9558076916881818,0.01947213338455045,1,1,1
Bgn,0.958062938673001,-0.12876822774929206,1,1,1
Serpinf1,0.9582087691902508,-0.12668350993630043,1,1,1
