#Selection name: 4s2_F2
#Area (µm^2): 31293112.30
Cell ID,Cluster,Transcripts,Area (µm^2)
elogkmlh-1,Cluster 4,0,101.96
elpegkfo-1,Cluster 2,0,138.04
elnjpifj-1,Cluster 10,0,252.24
elnkpgaf-1,Cluster 10,0,87.74
elpeifjm-1,Cluster 2,0,175.30
elnjemdk-1,Cluster 11,0,316.77
elnlfkef-1,Cluster 7,0,50.98
elnokbnn-1,Cluster 5,0,196.97
eloaappa-1,Cluster 11,0,289.23
eloaibgh-1,Cluster 2,0,278.93
elocdolk-1,Cluster 7,0,150.55
elnomjbd-1,Cluster 13,0,43.80
elnofnan-1,Cluster 2,0,96.09
elnojieh-1,Cluster 5,0,89.77
elocfcod-1,Cluster 13,0,88.28
eloahgkm-1,Cluster 11,0,285.61
elnleibp-1,Cluster 16,0,276.76
elocbgap-1,Cluster 13,0,76.86
elpfcman-1,Cluster 3,0,206.86
elpedbco-1,Cluster 2,0,165.45
eloannka-1,Cluster 2,0,109.19
eloaonfi-1,Cluster 4,0,175.75
elnpnpbp-1,Cluster 4,0,209.89
elnkppoa-1,Cluster 4,0,98.67
elpfhnbd-1,Cluster 5,0,172.27
elnokfbb-1,Cluster 2,0,240.73
ejbcokja-1,Cluster 5,0,245.83
elnlhold-1,Cluster 18,0,165.68
elmclfaj-1,Cluster 2,0,222.94
eloapgnf-1,Cluster 2,0,198.91
elnpoacj-1,Cluster 4,0,217.61
elpealga-1,Cluster 4,0,233.59
eloagjlg-1,Cluster 2,0,110.27
eloadkek-1,Cluster 7,0,67.46
elleacdn-1,Cluster 18,0,167.03
elnpmpao-1,Cluster 4,0,216.70
elobchpe-1,Cluster 2,0,81.15
elobpgpm-1,Cluster 2,0,86.07
elnkblnn-1,Cluster 11,0,254.91
elnlbikg-1,Cluster 7,0,113.48
elnlliho-1,Cluster 2,0,150.64
elnklief-1,Cluster 2,0,117.63
elobjfed-1,Cluster 2,0,137.91
elpdkabp-1,Cluster 5,0,221.81
elohbmdd-1,Cluster 4,0,216.12
elohliic-1,Cluster 2,0,244.52
elohpmnb-1,Cluster 11,0,90.31
eloiedde-1,Cluster 7,0,28.54
elonfjib-1,Cluster 11,0,210.70
eloffddm-1,Cluster 13,0,77.26
elonnknb-1,Cluster 13,0,60.69
